avg_odds,bets_with_units,losses,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
-51.77018751183787,16232,8363,16577,-1116.0240000000065,15839,-819988.0,8,unrated,-0.06629350640556039,betql,16834.590000000357,345,0.4877,0.4952622367071036,8206
-12411.600125156445,6594,2707,6848,-102.17799999999941,6392,-79334948.0,147,unrated,-0.013145483129761699,bettingpros_experts,7772.8599999999915,254,0.5842,0.5960304432174303,3994
-67.3515625,3647,3109,6352,-2613.306000000003,1024,-68968.0,5,unrated,-0.7092182144340056,action,3684.7700000000177,2705,0.4979,0.510162281392784,3238
-108.61428031734039,2669,1232,2698,-31.11200000000009,2647,-287502.0,6,unrated,-0.010744392450745117,sportsline,2895.649999999999,29,0.5235,0.5423476968796433,1460
-107.04619164619164,2095,1052,2167,-177.2980000000001,2035,-217839.0,1,unrated,-0.07756259104848529,oddstrader,2285.8699999999876,72,0.4933,0.5143120960295475,1114
52.115591397849464,1146,652,1164,-69.4050000000002,1116,58161.0,3,unrated,-0.06582354112726611,dimers,1054.409999999993,18,0.4101,0.4384151593453919,509
-51.030188679245285,432,288,572,-157.2700000000002,265,-13523.0,0,3_star,-0.3580095153543223,betql,439.2899999999999,140,0.4557,0.4965034965034965,284
-47.17910447761194,315,234,469,-160.59599999999998,134,-6322.0,3,4_star,-0.5057982425750368,betql,317.51000000000005,154,0.4527,0.4978540772532189,232
71.80402010050251,333,224,433,-88.42700000000008,199,14289.0,1,unrated,-0.22064826829024878,juicereel_sxebets,400.7599999999999,100,0.4347,0.48148148148148145,208
-38.25,376,207,406,-38.93799999999999,332,-12699.0,0,unrated,-0.10207355755367387,covers,381.4700000000002,30,0.4418,0.49014778325123154,199
-47.91954022988506,242,194,374,-147.23500000000007,87,-4169.0,1,5_star,-0.6029773118191502,betql,244.17999999999998,132,0.4297,0.47989276139410186,179
-45.72360248447205,335,171,352,-20.676000000000002,322,-14723.0,0,4_star,-0.059308129195112115,covers,348.6200000000003,17,0.4621,0.5142045454545454,181
-73.97457627118644,149,89,199,-39.46500000000008,118,-8729.0,0,unrated,-0.28219520915266416,juicereel_nukethebooks,139.85,50,0.4833,0.5527638190954773,110
-49.79746835443038,85,40,94,2.2270000000000003,79,-3934.0,0,5_star,0.02537313432835821,covers,87.77000000000001,9,0.4735,0.574468085106383,54
-55.38235294117647,36,17,36,1.151,34,-1883.0,0,unrated,0.03208809590186785,vegasinsider,35.87000000000001,0,0.3701,0.5277777777777778,19
-112.33333333333333,3,1,3,0.826,3,-337.0,0,unrated,0.2597484276729559,sportscapping,3.1800000000000006,0,0.2077,0.6666666666666666,2
-17.5,2,1,2,-0.10299999999999998,2,-35.0,0,3_star,-0.04881516587677724,covers,2.11,0,0.0945,0.5,1
-105.0,1,1,1,-0.9,1,-105.0,0,unrated,-1.0,bettingpros,0.9,0,0.0,0.0,0
-105.0,1,1,1,-1.02,1,-105.0,0,1_star,-1.0,covers,1.02,0,0.0,0.0,0
