sources_combo,nba_n,nba_wins,nba_losses,nba_win_rate,nba_wilson,mlb_n,mlb_wins,mlb_losses,mlb_win_rate,mlb_wilson,delta_wilson,recommendation
action,2905,1535,1370,0.5284,0.5102,5681,2839,2842,0.4997,0.4867,0.0235,
action|betql,354,150,204,0.4237,0.3733,0,0,0,,0.0,,
action|betql|bettingpros_experts,30,16,14,0.5333,0.3614,0,0,0,,0.0,,
action|betql|covers,10,3,7,0.3,0.1078,0,0,0,,0.0,,
action|betql|dimers,39,28,11,0.7179,0.5622,0,0,0,,0.0,,
action|betql|dimers|vegasinsider,15,8,7,0.5333,0.3012,0,0,0,,0.0,,
action|betql|sportsline,27,14,13,0.5185,0.3399,0,0,0,,0.0,,
action|betql|vegasinsider,34,22,12,0.6471,0.4791,0,0,0,,0.0,,
action|bettingpros_experts,163,79,84,0.4847,0.4092,0,0,0,,0.0,,
action|bettingpros_experts|covers,10,4,6,0.4,0.1682,0,0,0,,0.0,,
action|bettingpros_experts|dimers,45,18,27,0.4,0.2702,0,0,0,,0.0,,
action|bettingpros_experts|oddstrader,14,10,4,0.7143,0.4535,0,0,0,,0.0,,
action|bettingpros_experts|oddstrader|vegasinsider,12,3,9,0.25,0.0889,0,0,0,,0.0,,
action|bettingpros_experts|sportsline,15,5,10,0.3333,0.1518,0,0,0,,0.0,,
action|bettingpros_experts|vegasinsider,13,11,2,0.8462,0.5776,0,0,0,,0.0,,
action|covers,41,21,20,0.5122,0.3648,10,5,5,0.5,0.2366,0.1283,
action|covers|vegasinsider,21,13,8,0.619,0.4088,0,0,0,,0.0,,
action|dimers,734,351,383,0.4782,0.4423,0,0,0,,0.0,,
action|dimers|oddstrader,54,22,32,0.4074,0.2868,0,0,0,,0.0,,
action|dimers|sportsline,114,64,50,0.5614,0.4698,0,0,0,,0.0,,
action|dimers|vegasinsider,18,8,10,0.4444,0.2456,0,0,0,,0.0,,
action|juicereel_nukethebooks,16,10,6,0.625,0.3864,0,0,0,,0.0,,
action|oddstrader,101,54,47,0.5347,0.4379,0,0,0,,0.0,,
action|oddstrader|sportsline,22,10,12,0.4545,0.2692,0,0,0,,0.0,,
action|oddstrader|vegasinsider,22,8,14,0.3636,0.1973,0,0,0,,0.0,,
action|sportsline,475,251,224,0.5284,0.4835,178,85,93,0.4775,0.4054,0.0781,
action|sportsline|vegasinsider,37,22,15,0.5946,0.4349,0,0,0,,0.0,,
action|vegasinsider,99,58,41,0.5859,0.4874,0,0,0,,0.0,,
betql,1252,591,661,0.472,0.4445,0,0,0,,0.0,,
betql|bettingpros_experts,14,10,4,0.7143,0.4535,0,0,0,,0.0,,
betql|dimers,70,34,36,0.4857,0.3725,0,0,0,,0.0,,
betql|dimers|oddstrader,11,7,4,0.6364,0.3538,0,0,0,,0.0,,
betql|dimers|vegasinsider,12,7,5,0.5833,0.3195,0,0,0,,0.0,,
betql|oddstrader,13,8,5,0.6154,0.3552,0,0,0,,0.0,,
betql|sportsline,10,2,8,0.2,0.0567,0,0,0,,0.0,,
betql|vegasinsider,14,6,8,0.4286,0.2138,0,0,0,,0.0,,
bettingpros_5star,13,2,11,0.1538,0.0433,0,0,0,,0.0,,
bettingpros_5star|bettingpros_experts|oddstrader,12,6,6,0.5,0.2538,0,0,0,,0.0,,
bettingpros_experts,1391,797,594,0.573,0.5468,0,0,0,,0.0,,
bettingpros_experts|dimers,19,10,9,0.5263,0.3171,0,0,0,,0.0,,
bettingpros_experts|dimers|oddstrader,14,2,12,0.1429,0.0401,0,0,0,,0.0,,
bettingpros_experts|oddstrader,109,59,50,0.5413,0.4479,0,0,0,,0.0,,
bettingpros_experts|sportsline,23,12,11,0.5217,0.3296,0,0,0,,0.0,,
bettingpros_experts|vegasinsider,12,7,5,0.5833,0.3195,0,0,0,,0.0,,
bettingpros|bettingpros_experts|oddstrader,10,4,6,0.4,0.1682,0,0,0,,0.0,,
covers,59,25,34,0.4237,0.3061,6,2,4,0.3333,0.0968,,
covers|dimers,16,12,4,0.75,0.505,0,0,0,,0.0,,
dimers,507,234,273,0.4615,0.4186,0,0,0,,0.0,,
dimers|oddstrader,47,27,20,0.5745,0.4328,0,0,0,,0.0,,
dimers|sportsline,36,20,16,0.5556,0.3958,0,0,0,,0.0,,
dimers|vegasinsider,22,9,13,0.4091,0.2326,0,0,0,,0.0,,
juicereel_nukethebooks,20,10,10,0.5,0.2993,0,0,0,,0.0,,
oddstrader,861,420,441,0.4878,0.4545,3,1,2,0.3333,0.0615,,
oddstrader|sportsline,18,11,7,0.6111,0.3862,0,0,0,,0.0,,
sportsline,562,304,258,0.5409,0.4996,1325,694,631,0.5238,0.4969,0.0027,
sportsline|vegasinsider,13,13,0,1.0,0.7719,0,0,0,,0.0,,
vegasinsider,34,19,15,0.5588,0.3945,0,0,0,,0.0,,
