sport,severity,issue_type,file,source,date,event_key,matchup_key,market_type,selection,line,player_key,pick_id,details,count
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,player_prop,,,NBA:j_hart_to_record_10_rebounds_yes,d9a223114cb9f2754baefc2c0631ea093dc7c149ad64202143f89ff088a6e024,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK,player_prop,,,NBA:j_hart_to_record_10_rebounds_yes,d9a223114cb9f2754baefc2c0631ea093dc7c149ad64202143f89ff088a6e024,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,player_prop,,,NBA:n_jokic_to_record_16_rebounds_yes,22238d2267db45f30e09fee755a1b498d9e8f9a57001a0e94b0ed67d4d79f332,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,player_prop,,,NBA:n_jokic_to_record_16_rebounds_yes,22238d2267db45f30e09fee755a1b498d9e8f9a57001a0e94b0ed67d4d79f332,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,player_prop,,,NBA:n_jokic_to_record_20_rebounds_yes,70c33537ffc9412db3e8ce44724860539903b0123d0d7f74fad13fefcc1f858f,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,player_prop,,,NBA:n_jokic_to_record_20_rebounds_yes,70c33537ffc9412db3e8ce44724860539903b0123d0d7f74fad13fefcc1f858f,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,team_total,,,,3af7446e22e068f9b8b62c264818cea1874b581c21b59076f3ef771de21099e6,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:DEN@MIN,NBA:2026:04:23:DEN-MIN,team_total,,,,3af7446e22e068f9b8b62c264818cea1874b581c21b59076f3ef771de21099e6,market_type=team_total,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,player_prop,,,NBA:b_ingram_to_score_25_points_yes,b35c8b0847f5c0d4a8a0c74c34a13e8c6283dfbe8e9fef01ef964828c083843c,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,player_prop,,,NBA:b_ingram_to_score_25_points_yes,b35c8b0847f5c0d4a8a0c74c34a13e8c6283dfbe8e9fef01ef964828c083843c,market_type=player_prop,1
NBA,WARN,null selection,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,player_prop,,,NBA:b_ingram_to_score_30_points_yes,6dc8d712fb1bc73092899010f12ab9bd7e9795942f784bec80a41ee19e866434,,1
NBA,WARN,null line where line is required,out/normalized_action_nba.json,action,2026-04-23,NBA:2026:04:23:CLE@TOR,NBA:2026:04:23:CLE-TOR,player_prop,,,NBA:b_ingram_to_score_30_points_yes,6dc8d712fb1bc73092899010f12ab9bd7e9795942f784bec80a41ee19e866434,market_type=player_prop,1
NBA,WARN,null line where line is required,out/normalized_oddstrader_prop_nba.json,oddstrader,2026-04-24,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,player_prop,Evan Mobley,,nba:evan_mobley,889064bab2ba7d28559290e84e469b32255c1561e4d706bde1a770b33603f0af,market_type=player_prop,1
NBA,WARN,null line where line is required,out/normalized_oddstrader_prop_nba.json,oddstrader,2026-04-25,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS,player_prop,Robert Williams,,nba:robert_williams,4f16e42f674cace657c86f6fb1fdb54dc24db8890f7c05d31add59b604707a86,market_type=player_prop,1
NBA,WARN,null line where line is required,out/normalized_oddstrader_prop_nba.json,oddstrader,2026-04-24,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,player_prop,Rudy Gobert,,nba:rudy_gobert,ee8561c4838612debc217da5be7914cd906b529dad94b2e3abd43602e020ae05,market_type=player_prop,1
NBA,WARN,unknown market type,out/normalized_sportsline_expert_pages_nba_canonical.jsonl,sportsline,2026-04-22,NBA:2026:04:22:ORL@DET,NBA:2026:04:22:DET-ORL,1st_half_spread,DET,-4.5,,4595c930a029167f2656f66eba7403771cad054ef72d9d6b91b2ba3cbb261fb4,market_type=1st_half_spread,1
NBA,WARN,suspiciously low source coverage,out/normalized_bettingpros_experts_nba.json,bettingpros_experts_nba,,,,,,,,,zero rows in requested range,1
NBA,WARN,suspiciously low source coverage,out/normalized_betql_model_nba.json,betql_model_nba,,,,,,,,,zero rows in requested range,1
NBA,WARN,suspiciously low source coverage,out/normalized_juicereel_nba.json,juicereel_nba,,,,,,,,,zero rows in requested range,1
NBA,WARN,suspiciously low source coverage,out/normalized_sportscapping_nba.json,sportscapping_nba,,,,,,,,,zero rows in requested range,1
